sku,ean,brand,product_name,description,category,size,color,price,list_price,availability,image_url,deeplink_url
S0-00070,4276098308926,Wrangler,Wrangler Bootcut Classic,"Wrangler Bootcut Classic. weites Hosenbein, Low Waist. Straight Leg, mittlere Waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W28/L34,mittelblau,93.91,93.91,in stock,https://picsum.photos/seed/0-70/400/500,https://awin-tracking.example.com/click?sku=S0-00070
S0-00071,4734988277637,TOMMY HILFIGER,TOMMY HILFIGER Slim Tapered,"Tommy Hilfiger Slim Tapered. extra weit geschnitten, Low Waist. gerades Bein, schwarz. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W34/L32,schwarz,71.55,90.62,out of stock,https://picsum.photos/seed/0-71/400/500,https://awin-tracking.example.com/click?sku=S0-00071
S0-00072,4082269863100,PEPE JEANS LONDON,PEPE JEANS LONDON Slim Tapered,"Pepe Jeans Slim Tapered. Wide Leg, Low Waist. gerades Bein, Dark Wash. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle.",Herrenjeans,W 30 L 32,hellblau,119.57,119.57,in stock,https://picsum.photos/seed/0-72/400/500,https://awin-tracking.example.com/click?sku=S0-00072
S0-00073,4260788634696,LEVIS,LEVIS Wide Leg High Rise,"Levi's Wide Leg High Rise. klassische Passform, high rise. gerades Bein, Raw Denim. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,30/32,schwarz,111.60,111.60,in stock,https://picsum.photos/seed/0-73/400/500,https://awin-tracking.example.com/click?sku=S0-00073
S0-00074,4551395943514,DIESEL,DIESEL 511 Slim,"Diesel 511 Slim. Skinny Fit, Mid Waist. Tapered Leg, dunkel gewaschen. Material: 99% Cotton, 1% Elastane. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 36 L 32,grau,94.37,133.35,in stock,https://picsum.photos/seed/0-74/400/500,https://awin-tracking.example.com/click?sku=S0-00074
S0-00075,,DIESEL,DIESEL Slim Tapered,"Diesel Slim Tapered. straight leg, High Waist. Schlaghose, Dark Wash. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,W33/L30,hellblau,86.60,86.60,in stock,https://picsum.photos/seed/0-75/400/500,https://awin-tracking.example.com/click?sku=S0-00075
S0-00076,4421919454119,Diesel,Diesel 511 Slim,"Diesel 511 Slim. schmale Passform, High Waist. Flared, stone washed. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,W36/L34,khaki,107.87,107.87,in stock,https://picsum.photos/seed/0-76/400/500,https://awin-tracking.example.com/click?sku=S0-00076
S0-00077,4913522673163,Pepe Jeans,Pepe Jeans Bootcut Classic,"Pepe Jeans Bootcut Classic. skinny cut, hohe Bundhöhe. verjüngtes Bein, Raw Denim. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,33/32,dunkelblau,46.17,46.17,in stock,https://picsum.photos/seed/0-77/400/500,https://awin-tracking.example.com/click?sku=S0-00077
S0-00078,4316866248678,Wrangler,Wrangler Loose Tapered,"Wrangler Loose Tapered. klassische Passform, Low Waist. Flared, Mid Wash. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,32/32,khaki,100.47,129.81,preorder,https://picsum.photos/seed/0-78/400/500,https://awin-tracking.example.com/click?sku=S0-00078
S0-00079,4787018131529,Tommy Hilfiger,Tommy Hilfiger Relaxed Straight,"Tommy Hilfiger Relaxed Straight. klassische Passform, tief sitzend. Flared, hell gewaschen. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W36/L30,grau,61.79,121.79,in stock,https://picsum.photos/seed/0-79/400/500,https://awin-tracking.example.com/click?sku=S0-00079
S0-00080,4607770611156,Wrangler,Wrangler Loose Tapered,"Wrangler Loose Tapered. gerades Bein, normale Bundhöhe. Flared, mit Rissen. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 30 L 30,schwarz,37.97,50.98,in stock,https://picsum.photos/seed/0-80/400/500,https://awin-tracking.example.com/click?sku=S0-00080
S0-00081,4114367492808,Levi Strauss & Co.,Levi Strauss & Co. Skinny Fit,"Levi's Skinny Fit. extra weit geschnitten, tief sitzend. Flared, Black Denim. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 32 L 30,schwarz,50.96,50.96,in stock,https://picsum.photos/seed/0-81/400/500,https://awin-tracking.example.com/click?sku=S0-00081
S0-00082,,G STAR,G STAR Bootcut Classic,"G-Star Bootcut Classic. weites Hosenbein, Low Waist. gerades Bein, Black Denim. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,30x36,hellblau,143.40,143.40,out of stock,https://picsum.photos/seed/0-82/400/500,https://awin-tracking.example.com/click?sku=S0-00082
S0-00083,4276911143456,Nudie Jeans,Nudie Jeans Bootcut Classic,"Nudie Jeans Bootcut Classic. skinny cut, High Waist. leicht ausgestellt, ungewaschen. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle.",Herrenjeans,W 28 L 34,dunkelblau,124.34,124.34,in stock,https://picsum.photos/seed/0-83/400/500,https://awin-tracking.example.com/click?sku=S0-00083
S0-00084,4425014839815,JACK JONES,JACK JONES Slim Tapered,"Jack & Jones Slim Tapered. Straight Fit, tief sitzend. verjüngtes Bein, mittlere Waschung. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,W33/L34,indigo,68.13,100.19,in stock,https://picsum.photos/seed/0-84/400/500,https://awin-tracking.example.com/click?sku=S0-00084
S0-00085,,REPLAY,REPLAY Loose Tapered,"Replay Loose Tapered. Baggy, Low Waist. Straight Leg, ungewaschen. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste.",Herrenjeans,32x30,schwarz,50.07,52.83,in stock,https://picsum.photos/seed/0-85/400/500,https://awin-tracking.example.com/click?sku=S0-00085
S0-00086,,G-Star RAW,G-Star RAW Straight Fit,"G-Star Straight Fit. weites Bein, normale Bundhöhe. gerades Bein, Stonewashed. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,36/36,mittelblau,112.62,112.62,preorder,https://picsum.photos/seed/0-86/400/500,https://awin-tracking.example.com/click?sku=S0-00086
S0-00087,4484392046519,G-Star,G-Star Skinny Fit,"G-Star Skinny Fit. Relaxed Fit, Mid Waist. Bootcut, hell gewaschen. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,34/34,indigo,45.00,45.00,in stock,https://picsum.photos/seed/0-87/400/500,https://awin-tracking.example.com/click?sku=S0-00087
S0-00088,4152788830639,NUDIE,NUDIE Wide Leg High Rise,"Nudie Jeans Wide Leg High Rise. schmale Passform, tief sitzend. gerades Bein, Black Denim. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,28x32,dunkelblau,100.67,100.67,in stock,https://picsum.photos/seed/0-88/400/500,https://awin-tracking.example.com/click?sku=S0-00088
S0-00089,4492650091135,Wrangler,Wrangler Loose Tapered,"Wrangler Loose Tapered. weites Bein, normale Bundhöhe. gerades Bein, Destroyed. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,30x36,khaki,131.92,131.92,in stock,https://picsum.photos/seed/0-89/400/500,https://awin-tracking.example.com/click?sku=S0-00089
S0-00090,4352129656888,NUDIE,NUDIE Straight Fit,"Nudie Jeans Straight Fit. skinny cut, High Waist. leicht ausgestellt, hell gewaschen. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,29/36,mittelblau,97.55,112.82,in stock,https://picsum.photos/seed/0-90/400/500,https://awin-tracking.example.com/click?sku=S0-00090
S0-00091,4027891611849,WRANGLER,WRANGLER 511 Slim,"Wrangler 511 Slim. straight leg, normale Bundhöhe. leicht ausgestellt, Dark Wash. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste.",Herrenjeans,30/34,dunkelblau,51.19,59.78,in stock,https://picsum.photos/seed/0-91/400/500,https://awin-tracking.example.com/click?sku=S0-00091
S0-00092,4137755710374,REPLAY,REPLAY Straight Fit,"Replay Straight Fit. Relaxed Fit, hohe Bundhöhe. Schlaghose, schwarz. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,29x34,khaki,100.11,118.32,in stock,https://picsum.photos/seed/0-92/400/500,https://awin-tracking.example.com/click?sku=S0-00092
S0-00093,4169728956268,REPLAY,REPLAY Athletic Tapered,"Replay Athletic Tapered. Relaxed Fit, Low Waist. verjüngtes Bein, Stonewashed. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,38/32,indigo,98.67,110.78,in stock,https://picsum.photos/seed/0-93/400/500,https://awin-tracking.example.com/click?sku=S0-00093
S0-00094,,LEE Jeans,LEE Jeans Bootcut Classic,"Lee Bootcut Classic. ausgestelltes Bein, high rise. Flared, Raw Denim. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,W 32 L 30,indigo,53.89,72.06,in stock,https://picsum.photos/seed/0-94/400/500,https://awin-tracking.example.com/click?sku=S0-00094
S0-00095,4047593489764,Hugo Boss,Hugo Boss Skinny Fit,"BOSS Skinny Fit. skinny cut, Mid Waist. gerades Bein, Used Look. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 30 L 32,mittelblau,132.24,132.24,in stock,https://picsum.photos/seed/0-95/400/500,https://awin-tracking.example.com/click?sku=S0-00095
S0-00096,4328161668610,Tommy Hilfiger Denim,Tommy Hilfiger Denim Baggy Wide Leg,"Tommy Hilfiger Baggy Wide Leg. Skinny Fit, Mid Waist. Straight Leg, dunkel gewaschen. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 38 L 34,grau,119.02,119.02,in stock,https://picsum.photos/seed/0-96/400/500,https://awin-tracking.example.com/click?sku=S0-00096
S0-00097,4143446395572,JACK JONES,JACK JONES Athletic Tapered,"Jack & Jones Athletic Tapered. straight leg, Low Waist. gerades Bein, Mid Wash. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,31/34,schwarz,58.64,91.11,in stock,https://picsum.photos/seed/0-97/400/500,https://awin-tracking.example.com/click?sku=S0-00097
S0-00098,4678021420947,LEE Jeans,LEE Jeans Bootcut Classic,"Lee Bootcut Classic. Loose Fit, Mid Waist. gerades Bein, schwarz. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,36/32,hellblau,55.76,55.76,in stock,https://picsum.photos/seed/0-98/400/500,https://awin-tracking.example.com/click?sku=S0-00098
S0-00099,4237257122934,G STAR,G STAR 501 Original,"G-Star 501 Original. weites Hosenbein, Low Waist. Straight Leg, destroyed look. Material: 99% Cotton, 1% Elastane. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,36x36,khaki,48.89,90.45,in stock,https://picsum.photos/seed/0-99/400/500,https://awin-tracking.example.com/click?sku=S0-00099
S0-00100,4445662371308,REPLAY,REPLAY 511 Slim,"Replay 511 Slim. Skinny Fit, hohe Bundhöhe. Bootcut, Dark Wash. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W36/L34,schwarz,51.59,57.51,in stock,https://picsum.photos/seed/0-100/400/500,https://awin-tracking.example.com/click?sku=S0-00100
S0-00101,4672937188089,BOSS,BOSS 511 Slim,"BOSS 511 Slim. Slim Fit, High Waist. Schlaghose, ungewaschen. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,29x36,schwarz,129.98,129.98,in stock,https://picsum.photos/seed/0-101/400/500,https://awin-tracking.example.com/click?sku=S0-00101
S0-00102,,Diesel,Diesel Loose Tapered,"Diesel Loose Tapered. Skinny Fit, high rise. gerades Bein, used waschung. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,38/34,hellblau,49.35,72.51,in stock,https://picsum.photos/seed/0-102/400/500,https://awin-tracking.example.com/click?sku=S0-00102
S0-00103,4814396668382,NUDIE,NUDIE Regular Straight,"Nudie Jeans Regular Straight. skinny cut, tief sitzend. Schlaghose, stone washed. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 38 L 32,dunkelblau,140.34,140.34,in stock,https://picsum.photos/seed/0-103/400/500,https://awin-tracking.example.com/click?sku=S0-00103
S0-00104,4694444859626,Diesel,Diesel Baggy Wide Leg,"Diesel Baggy Wide Leg. slim cut, tief sitzend. Schlaghose, Light Wash. Material: 99% Cotton, 1% Elastane. Verschluss: Reißverschluss.",Herrenjeans,W33/L34,indigo,92.84,108.14,in stock,https://picsum.photos/seed/0-104/400/500,https://awin-tracking.example.com/click?sku=S0-00104
S0-00105,4123267798693,Nudie Jeans,Nudie Jeans Regular Straight,"Nudie Jeans Regular Straight. Skinny Fit, hohe Bundhöhe. Schlaghose, hell gewaschen. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,36x32,mittelblau,39.04,64.11,in stock,https://picsum.photos/seed/0-105/400/500,https://awin-tracking.example.com/click?sku=S0-00105
S0-00106,4730136378095,JACK JONES,JACK JONES Regular Straight,"Jack & Jones Regular Straight. weites Bein, hohe Bundhöhe. gerades Bein, Light Wash. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,31x36,indigo,36.74,50.10,in stock,https://picsum.photos/seed/0-106/400/500,https://awin-tracking.example.com/click?sku=S0-00106
S0-00107,4246095180020,Tommy Hilfiger Denim,Tommy Hilfiger Denim 511 Slim,"Tommy Hilfiger 511 Slim. klassische Passform, Low Waist. Schlaghose, schwarz. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 33 L 34,indigo,130.17,139.85,in stock,https://picsum.photos/seed/0-107/400/500,https://awin-tracking.example.com/click?sku=S0-00107
S0-00108,4381472026487,Lee,Lee Baggy Wide Leg,"Lee Baggy Wide Leg. lockere Passform, Low Waist. leicht ausgestellt, Light Wash. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W32/L34,grau,89.79,133.85,in stock,https://picsum.photos/seed/0-108/400/500,https://awin-tracking.example.com/click?sku=S0-00108
S0-00109,4151490460699,Jack & Jones,Jack & Jones Bootcut Classic,"Jack & Jones Bootcut Classic. Regular Fit, Low Waist. Flared, Used Look. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste.",Herrenjeans,32/36,dunkelblau,45.40,73.00,in stock,https://picsum.photos/seed/0-109/400/500,https://awin-tracking.example.com/click?sku=S0-00109
S0-00110,4175789144602,REPLAY,REPLAY Baggy Wide Leg,"Replay Baggy Wide Leg. skinny cut, tief sitzend. verjüngtes Bein, Stonewashed. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,W 29 L 36,schwarz,117.29,117.29,in stock,https://picsum.photos/seed/0-110/400/500,https://awin-tracking.example.com/click?sku=S0-00110
S0-00111,4192936248351,WRANGLER,WRANGLER Loose Tapered,"Wrangler Loose Tapered. Loose Fit, Low Waist. Schlaghose, used waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W33/L34,mittelblau,32.97,54.55,in stock,https://picsum.photos/seed/0-111/400/500,https://awin-tracking.example.com/click?sku=S0-00111
S0-00112,4499438389318,TOMMY HILFIGER,TOMMY HILFIGER Skinny Fit,"Tommy Hilfiger Skinny Fit. klassische Passform, High Waist. leicht ausgestellt, used waschung. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W32/L30,dunkelblau,48.67,88.78,in stock,https://picsum.photos/seed/0-112/400/500,https://awin-tracking.example.com/click?sku=S0-00112
S0-00113,,CK,CK Loose Tapered,"Calvin Klein Loose Tapered. gerades Bein, hohe Bundhöhe. Flared, Light Wash. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,33x32,mittelblau,146.11,146.11,in stock,https://picsum.photos/seed/0-113/400/500,https://awin-tracking.example.com/click?sku=S0-00113
S0-00114,4354237968022,Lee,Lee Straight Fit,"Lee Straight Fit. Straight Fit, hohe Bundhöhe. Schlaghose, Light Wash. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 34 L 36,schwarz,29.37,54.11,in stock,https://picsum.photos/seed/0-114/400/500,https://awin-tracking.example.com/click?sku=S0-00114
S0-00115,,Nudie Jeans,Nudie Jeans Relaxed Straight,"Nudie Jeans Relaxed Straight. entspannte Passform, hohe Bundhöhe. Tapered Leg, hell gewaschen. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,W33/L34,mittelblau,67.17,82.75,in stock,https://picsum.photos/seed/0-115/400/500,https://awin-tracking.example.com/click?sku=S0-00115
S0-00116,,Replay,Replay Baggy Wide Leg,"Replay Baggy Wide Leg. schmale Passform, normale Bundhöhe. Schlaghose, mittlere Waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert.",Herrenjeans,W 32 L 30,khaki,59.92,100.11,out of stock,https://picsum.photos/seed/0-116/400/500,https://awin-tracking.example.com/click?sku=S0-00116
S0-00117,,BOSS,BOSS Bootcut Classic,"BOSS Bootcut Classic. Relaxed Fit, high rise. Straight Leg, Light Wash. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W31/L32,khaki,102.89,125.99,in stock,https://picsum.photos/seed/0-117/400/500,https://awin-tracking.example.com/click?sku=S0-00117
S0-00118,4890971563851,Lee,Lee Baggy Wide Leg,"Lee Baggy Wide Leg. gerades Bein, High Waist. verjüngtes Bein, stone washed. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert.",Herrenjeans,W38/L36,indigo,52.95,73.55,in stock,https://picsum.photos/seed/0-118/400/500,https://awin-tracking.example.com/click?sku=S0-00118
S0-00119,,Wrangler,Wrangler Baggy Wide Leg,"Wrangler Baggy Wide Leg. Relaxed Fit, Low Waist. verjüngtes Bein, dunkel gewaschen. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste.",Herrenjeans,W36/L34,indigo,104.77,104.77,in stock,https://picsum.photos/seed/0-119/400/500,https://awin-tracking.example.com/click?sku=S0-00119
S0-00120,,Wrangler,Wrangler Bootcut Classic,"Wrangler Bootcut Classic. ausgestelltes Bein, tief sitzend. gerades Bein, mittlere Waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,28x30,grau,45.09,45.09,in stock,https://picsum.photos/seed/0-120/400/500,https://awin-tracking.example.com/click?sku=S0-00120
S0-00121,4581508758920,Tommy Hilfiger,Tommy Hilfiger Slim Tapered,"Tommy Hilfiger Slim Tapered. extra weit geschnitten, Low Waist. Straight Leg, Black Denim. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,34/30,grau,81.33,146.97,in stock,https://picsum.photos/seed/0-121/400/500,https://awin-tracking.example.com/click?sku=S0-00121
S0-00122,4207342336789,Pepe Jeans,Pepe Jeans Slim Tapered,"Pepe Jeans Slim Tapered. Wide Leg, tief sitzend. Straight Leg, Dark Wash. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,38x36,dunkelblau,77.52,77.52,in stock,https://picsum.photos/seed/0-122/400/500,https://awin-tracking.example.com/click?sku=S0-00122
S0-00123,4829861852263,Levi's,Levi's Wide Leg High Rise,"Levi's Wide Leg High Rise. Regular Fit, high rise. gerades Bein, Raw Denim. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,W28/L36,mittelblau,54.47,79.99,in stock,https://picsum.photos/seed/0-123/400/500,https://awin-tracking.example.com/click?sku=S0-00123
S0-00124,4328193742057,DIESEL,DIESEL 511 Slim,"Diesel 511 Slim. Skinny Fit, Mid Waist. verjüngtes Bein, dunkel gewaschen. Material: 99% Cotton, 1% Elastane. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,33/34,schwarz,84.29,89.34,in stock,https://picsum.photos/seed/0-124/400/500,https://awin-tracking.example.com/click?sku=S0-00124
S0-00125,4591650712027,DIESEL,DIESEL Slim Tapered,"Diesel Slim Tapered. Straight Fit, High Waist. Schlaghose, Dark Wash. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,34x34,dunkelblau,106.78,106.78,preorder,https://picsum.photos/seed/0-125/400/500,https://awin-tracking.example.com/click?sku=S0-00125
S0-00126,4710088072580,Diesel,Diesel 511 Slim,"Diesel 511 Slim. schmale Passform, hohe Bundhöhe. Flared, Stonewashed. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,38x36,grau,88.53,131.20,in stock,https://picsum.photos/seed/0-126/400/500,https://awin-tracking.example.com/click?sku=S0-00126
S0-00127,4332142552613,Pepe Jeans,Pepe Jeans Bootcut Classic,"Pepe Jeans Bootcut Classic. Skinny Fit, High Waist. Tapered Leg, ungewaschen. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,28/30,mittelblau,102.32,136.16,in stock,https://picsum.photos/seed/0-127/400/500,https://awin-tracking.example.com/click?sku=S0-00127
S0-00128,4586118082741,WRANGLER,WRANGLER Loose Tapered,"Wrangler Loose Tapered. klassische Passform, tief sitzend. Schlaghose, mittlere Waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,31/36,khaki,130.35,130.35,in stock,https://picsum.photos/seed/0-128/400/500,https://awin-tracking.example.com/click?sku=S0-00128
S0-00129,,Tommy Hilfiger,Tommy Hilfiger Relaxed Straight,"Tommy Hilfiger Relaxed Straight. Regular Fit, Low Waist. Schlaghose, hell gewaschen. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,36/34,hellblau,100.63,100.63,in stock,https://picsum.photos/seed/0-129/400/500,https://awin-tracking.example.com/click?sku=S0-00129
S0-00130,4372308581268,WRANGLER,WRANGLER Loose Tapered,"Wrangler Loose Tapered. gerades Bein, normale Bundhöhe. Schlaghose, Destroyed. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,33x32,schwarz,96.56,133.25,out of stock,https://picsum.photos/seed/0-130/400/500,https://awin-tracking.example.com/click?sku=S0-00130
S0-00131,4575777869916,Levi's,Levi's Skinny Fit,"Levi's Skinny Fit. Baggy Fit, Low Waist. Flared, schwarz. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,30x32,mittelblau,52.11,70.05,in stock,https://picsum.photos/seed/0-131/400/500,https://awin-tracking.example.com/click?sku=S0-00131
S0-00132,4678864464039,G STAR,G STAR Bootcut Classic,"G-Star Bootcut Classic. ausgestelltes Bein, tief sitzend. gerades Bein, Black Denim. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,31/30,indigo,41.39,41.39,in stock,https://picsum.photos/seed/0-132/400/500,https://awin-tracking.example.com/click?sku=S0-00132
S0-00133,4895510198977,NUDIE,NUDIE Bootcut Classic,"Nudie Jeans Bootcut Classic. Skinny Fit, High Waist. Bootcut, Raw Denim. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W34/L30,indigo,93.84,126.63,in stock,https://picsum.photos/seed/0-133/400/500,https://awin-tracking.example.com/click?sku=S0-00133
S0-00134,4620446670928,Jack & Jones,Jack & Jones Slim Tapered,"Jack & Jones Slim Tapered. straight leg, Low Waist. verjüngtes Bein, Mid Wash. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,W 38 L 34,khaki,44.82,83.69,in stock,https://picsum.photos/seed/0-134/400/500,https://awin-tracking.example.com/click?sku=S0-00134
S0-00135,4011324746755,Replay,Replay Loose Tapered,"Replay Loose Tapered. Baggy Fit, tief sitzend. gerades Bein, ungewaschen. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste.",Herrenjeans,28x30,khaki,102.03,102.03,in stock,https://picsum.photos/seed/0-135/400/500,https://awin-tracking.example.com/click?sku=S0-00135
S0-00136,4048408984648,G-Star,G-Star Straight Fit,"G-Star Straight Fit. weites Bein, normale Bundhöhe. Straight Leg, Stonewashed. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,29/30,schwarz,60.48,74.53,in stock,https://picsum.photos/seed/0-136/400/500,https://awin-tracking.example.com/click?sku=S0-00136
S0-00137,4917261974464,G-Star RAW,G-Star RAW Skinny Fit,"G-Star Skinny Fit. entspannte Passform, normale Bundhöhe. Bootcut, Light Wash. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle.",Herrenjeans,28/32,schwarz,66.73,105.15,in stock,https://picsum.photos/seed/0-137/400/500,https://awin-tracking.example.com/click?sku=S0-00137
S0-00138,4656936114566,NUDIE,NUDIE Wide Leg High Rise,"Nudie Jeans Wide Leg High Rise. schmale Passform, Low Waist. gerades Bein, schwarz. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,28x30,schwarz,50.90,77.93,in stock,https://picsum.photos/seed/0-138/400/500,https://awin-tracking.example.com/click?sku=S0-00138
S0-00139,,WRANGLER,WRANGLER Loose Tapered,"Wrangler Loose Tapered. Loose Fit, Mid Waist. Straight Leg, destroyed look. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,38x36,mittelblau,56.07,70.33,out of stock,https://picsum.photos/seed/0-139/400/500,https://awin-tracking.example.com/click?sku=S0-00139
